id,name,country,description,category,ingredients,instructions
ae8ddcb4-74b3-471d-8919-aeca3adc469b,Crème fraîche au fromage et ciboulette,France,Une crème onctueuse et rafraîchissante mariant la douceur du fromage blanc à la saveur délicate de la ciboulette. Parfaite en accompagnement ou en tartinade.,Cremes Desserts,"[""1 Fromage blanc"", ""Crème fraîche"", ""4 Brin(s) de ciboulette"", ""Vinaigre balsamique"", ""1 Échalote(s)"", ""Sel, poivre""]","[""Épluchez, lavez puis hachez finement l’échalote, ciselez la ciboulette."", ""Prenez un grand bol et mettez-y la crème fraîche, le fromage blanc, l'échalote et la ciboulette, puis arrosez avec un petit filet de vinaigre balsamique."", ""Salez, poivrez et glissez au réfrigérateur.""]"
99e6233d-2bf8-44ac-a32b-e580d13dc919,Tarte thon-haricots verts,France,"pâte brisée, thon, haricots verts, échalote, oeuf, moutarde, huile d'olive, tomates concassées, poivre, sel, herbes de Provence",tarte au thon,"[""1 pâtes brisées"", ""1 boîtes de thon au naturel"", ""200 g de haricots verts"", ""2 échalotes"", ""2 oeufs"", ""1 cuillères à soupe de moutarde"", ""2 cuillères à soupe d'huile d'olive"", ""2 cuillères à soupe de tomates concassées en boîte"", ""poivre"", ""sel"", ""herbes de Provence""]","[""Mettre le four à préchauffer à 200°C (thermostat 7)."", ""Faire cuire les haricots verts."", ""Émincer les échalotes et les faire revenir dans une sauteuse avec 1 cuillère à soupe d'huile d'olive."", ""Ajouter les haricots verts dans la sauteuse après les avoir égouttés et détaillés en petits tronçons."", ""Ajouter les tomates concassées et le thon."", ""Laisser mijoter quelques minutes après avoir vérifié l'assaisonnement."", ""Laisser la préparation refroidir. Étaler la pâte brisée dans le moule à tarte."", ""Mélanger les 2 œufs avec la moutarde et 1 cuillère à soupe d'huile d'olive."", ""Verser la préparation au thon dans le moule, recouvrir avec la préparation aux œufs."", ""Enfourner pendant 30 min puis déguster la tarte tiède ou froide.""]"
338f0ba8-7e62-4c41-b5ff-eef5cc4b0f13,Comment cuire une pintade pour qu'elle soit moelleuse ?,France,"Servir une pintade trop sèche à vos invités est votre hantise ? Vous aimeriez déguster un plat tendre et fondant pour votre réveillon de fin d’année ? Cela n’est pas si compliqué, pour peu que vous respectiez quelques conseils pour la <a target=""_blank"" href=""https://www.cuisineaz.com/articles/comment-cuire-une-pintade-1491.aspx"">cuisson de votre pintade</a>. Découvrez nos idées pour cuire une pintade et faire en sorte qu’elle reste moelleuse.",Pintade,"[""Pintade"", ""Bouillon"", ""Chair à saucisse(s)"", ""Pain de mie"", ""Lait"", ""Échalote(s)"", ""Champignon(s)"", ""Lard""]","[""Choisissez bien votre pintade. La première règle à connaître pour servir une pintade fondante à vos convives est de leur proposer une viande de qualité. Optez pour un chapon de pintade, qui n’est autre qu’un mâle qui a été castré. Il a l’avantage d’être engraissé et donc plus charnu. Sa chair est généralement plus moelleuse."", ""Placez la pintade à température ambiante au minimum 1 heure avant cuisson. Ce geste peut paraître anodin, mais il permet d’éviter que la chair ne se contracte à cause du choc thermique provoqué par la différence de température."", ""Pochez votre pintade. Si vous voulez obtenir une pintade ultra moelleuse, optez pour une cuisson en cocotte. Vous pouvez la plonger dans un bouillon aromatique. Maintenez l’ébullition durant 20 minutes avant de sortir et d’égoutter votre pintade. Cette technique, très appréciée des chefs, a l’avantage de modérer le dessèchement de la chair."", ""Préparez une farce pour votre pintade. Chair à saucisse, champignons, lait, échalotes, pain de mie… Les recettes sont nombreuses mais ont toutes un avantage : celui d’apporter encore plus de moelleux à la chair de votre viande. Une farce réussie est le gage d’une pintade tendre et savoureuse."", ""Protégez votre pintade en l’entourant de lard. La barder ainsi aura l’avantage de retenir l’eau lors de la cuisson tout en apportant de la matière grasse et du goût."", ""Optez pour une cuisson douce au four. Du fait de sa chair pauvre en matières grasses, la pintade est exigeante en matière de température de cuisson. Si vous voulez conserver une viande tendre, oubliez la cuisson rapide à haute température. La pintade a au contraire besoin d’une cuisson lente, afin que l’eau ne s’évapore pas trop. La température idéale est de 150°C durant 1h30."", ""Mouillez très régulièrement votre viande avec du bouillon afin d’éviter tout risque de dessèchement.""]"
dc16bcf2-7a39-4498-b593-4a5ef9d1f783,Glace aux prunes,France,Une glace onctueuse et fruitée préparée avec des prunes fraîches et une crème liquide légère. Parfaite pour se rafraîchir pendant les chaudes journées d'été.,Glaces,"[""200 g Prune(s)"", ""50 g Sucre en poudre"", ""30 cl Crème liquide"", ""2 sachet(s) Sucre vanillé"", ""1 c. à soupe Jus de citron""]","[""Mixez les prunes avec le jus de citron et le sucre dans un blender."", ""Versez la purée obtenue dans un bac à glace et réservez au congélateur."", ""Faites bouillir 10 cl de crème avec le sucre vanillé dans une casserole."", ""Laissez refroidir hors du feu."", ""Mélangez la crème vanillée avec la purée de prunes dans le bac à glace sorti du congélateur."", ""Fouettez la crème liquide restante et incorporez-la au mélange."", ""Replacez le bac à glace au congélateur."", ""Réservez pendant 6 heures minimum, en mélangeant la glace régulièrement pour éviter la formation de paillettes.""]"
b2a883d1-6575-4633-8f6f-9d60d5eccbbe,Receta de Salchicas en chipotle,Spain,"Aprende a preparar Salchicas en chipotle con esta rica y fácil receta. Le pones un poquito de agua y lo dejar hervir, ah y no te olvides de la sal. Y disfrutenlo..",Salchicha,"[""1 paquete de salchichas"", ""jitomates"", ""cebollas"", ""1 lata de chipotle"", ""aceite"", ""sarten (para freirlo)"", ""sal"", ""un poco de agua""]","[""Cortas en trocitos la salchicha( de ancho), cortas tambien la cebolla y el jitomate en rebanadas. pones el sarten con aceite en la estufa, y sueltas el jitomate, la cebolla, y la salchicha en trocitos."", ""Cuando ya esten como dorados, le baseas el contenido de la lata de chipotles en el sarten, y como que exprimes los chiles para que no esten enteros( o si los prefieres enteros esta bien)."", ""Le pones un poquito de agua y lo dejar hervir, ah y no te olvides de la sal."", ""Y disfrutenlo..""]"
6285ae67-c57a-48af-bed7-9bb95c9a9bdd,Receta de Calamares rellenos de verduras,Spain,"Hoy cocinaremos unos calamares rellenos fáciles y para ello usaremos una deliciosa mezcla de verduras y pan, para que obtengas un plato estupendo sin gastar mucho dinero.Los calamares rellenos de verduras que te presentamos en RecetasGratis es una receta sencilla, para una sola persona, bien para comer o cenar. Los calamares o el tubo de pota, como se le llama en algunos lugares, es un molusco que se puede preparar de muchas formas, de hecho, la forma natural que tiene los hace ideales para prepararlos rellenos y de esto nos aprovechamos para preparar esta deliciosa receta con calamares y verduras.",Plato principal,"[""1 Calamar (pota o tubo)"", ""1 Tomate"", ""½ Pimiento morrón"", ""¼ Cebolla"", ""1 Huevo"", ""1 rebanada de Pan blanco"", ""½ diente de Ajo"", ""1 pizca de Nuez moscada"", ""35 gramos de Miga de pan"", ""1 rama de Perejil crespo"", ""1 pizca de Sal y Pimienta""]","[""Alistar todos los ingredientes para hacer nuestros calamares rellenos paso a paso.Esta receta de tubo de pota relleno es para una sola persona, recuerda que si quieres cocinar para más comensales debes multiplicar los ingredientes, calculando 1 calamar por persona."", ""Picamos toda la verdura para el relleno. Empezamos por picar el ajo finamente, el pimiento y la cebolla en cubos pequeños. También debemos lavar, pelar y cortar el tomate en cubos."", ""Calentamos unas gotas de aceite en una sartén y empezamos a hacer el sofrito salteando el ajo junto con la cebolla y el pimiento, luego agregamos el tomate.Cocinamos por 10 minutos y rectificamos sal y pimienta. Dejamos enfriar."", ""Por otro lado, troceamos el pan en cubos y también picamos finamente el perejil crespo.Nosotros hemos utilizado el clásico pan de molde, pero si quieres puedes usar cualquier otro tipo de pan blanco."", ""Para terminar con el relleno de los calamares, colocamos estos ingredientes en un y mezclamos bien."", ""Añadimos el huevo y continuamos mezclando hasta conseguir un masa que tenga una textura similar a la mezcla para hacer albóndigas caseras."", ""Ya tenemos todo listo, así que pasamos a rellenar los calamares con la mezcla. Limpia bien el calamar, retirando todo el interior, coloca una buena porción de relleno dentro y sella el borde con ayuda de un palillo de madera.Calentamos un sartén con acetite y cocinamos el calamar tapado por unos 40 minutos. Ve agregando agua dentro de la sartén de tanto en tanto para garantizar una buena cocción."", ""Cuando veamos que el calamar ya está dorado, retiramos de la sartén y servimos nuestros calamares rellenos con verduras, decorando con una rodaja de limón y cebollín.Puedes acompañar con una ensalada de quinoa y aguacate o combinar con otra receta de calamares como los calamares rellenos de gambas.""]"
03ac353f-a077-4a6b-9c0d-4d2644245425,Minik Bazlamalar,Turkey,"Lezzetli ve pratik minik bazlamalar, ısırık büyüklüğünde harika bir atıştırmalık.",Ana Yemek,"[""2 su bardağı ılık süt"", ""1 çay bardağı ılık su"", ""1/2 çay bardağı sıvı yağ"", ""1 paket maya"", ""1 yemek kaşığı toz şeker"", ""1 yemek kaşığı tuz"", ""5-6 su bardağı un (aldığı kadar)""]","[""Bir kaba süt, su ve maya koyulup karıştırılır. Un hariç diğer malzemeler de eklenir, biraz karıştırıldıktan sonra yavaş yavaş un eklenerek yoğrulmaya başlanır."", ""Hafif ele yapışan bir hamur elde edinceye kadar yoğurmaya devam edilir. Hamurun ağzını kapatıp mayalandırmaya bırakalım yarım saat kadar dinlensin."", ""Mayalanan hamuru tezgahta hafif unlayarak gazını alalım ve ikiye bölelim. Merdane ile açtığımız hamurdan bardak yardımıyla küçük yuvarlaklar elde ediyoruz."", ""Çıkardığımız hamurları yarım saat üstünü kapatarak bekletiyoruz. Bazlamalarımız, önceden ısıtılmış geniş ama yapışmaz bir tavada ters-düz olacak şekilde pişirilir."", ""Tavadan alıp tereyağı ile yağladıktan sonra servise hazır. Afiyet olsun.""]"
1ec4a529-3dda-4ee1-9fe7-d258234c0ad6,Receta de Salpicón de pulpo con patatas,Spain,El pulpo es un marisco bajo en grasa y rico en proteínas. Estas propiedades hacen que el pulpo sea un alimento muy recomendable en las dietas para bajar de peso. En RecetasGratis.net os mostramos este salpicón de pulpo con patatas que podéis preparar en vuestro menú navideño sin tener que preocuparos por las calorías.,Entrante,"[""300 gramos de Pulpo cocido"", ""1 unidad de Patata"", ""½ unidad de Cebolleta"", ""1 unidad de Pimiento verde"", ""1 unidad de Tomate"", ""1 pizca de Sal"", ""1 chorro de Vinagre"", ""1 manojo de Albahaca fresca""]","[""Para preparar el salpicón de pulpo con patatas, debemos reunir todos los ingredientes."", ""Cocemos las patatas troceadas en agua hirviendo hasta que estén tiernas."", ""Picamos la cebolleta, el pimiento y el tomate en cuadraditos pequeños."", ""Troceamos el pulpo en rodajas y lo disponemos en una ensaladera junto al tomate, la cebolleta y el pimiento."", ""Una vez enfriadas, agregamos las patatas cocidas y aliñamos con sal, vinagre y aceite."", ""Podemos servir el salpicón de pulpo con patatas con hojas de albahaca fresca picada. El salpicón de marisco gallego o el salpicón de pollo son otras opciones para preparar en vuestras celebraciones y fiestas navideñas. ¡Espero que os guste!""]"
ed80ae5a-f13d-46d6-ad90-b09c80298384,Allumettes apéritif au Boursin,France,"Délicieuses allumettes feuilletées garnies de Boursin et de Gruyère, parfaites pour l'apéritif. Croustillantes à l'extérieur et fondantes à l'intérieur, elles feront le bonheur de vos invités.",Feuilletes Apéritifs,"[""1 boîte(s) Boursin(s)"", ""200 g Gruyère râpé"", ""1 Pâte(s) feuilletée(s)""]","[""Préchauffez le four th. 7 (210°)."", ""Étalez la pâte feuilletée sur le plan de travail et nappez-la de Boursin."", ""Tranchez la pâte en petits bâtonnets et saupoudrez de gruyère."", ""Faites cuire au four pendant 10 min.""]"
8e05e13d-fcdd-4eac-8d05-fa09cf45703f,Alloco (bananes plantains frites),France,"Plat traditionnel de Côte d’Ivoire, l’alloco est préparé avec de la banane plantains que l’on fait frire dans de l’huile d’arachide ou de palme rouge. En baoulé, la langue parlée par la plus grande ethnie de ce pays d’Afrique, alloco signifie mûr et sucré. Les bananes plantains utilisées doivent ainsi être bien mûres pour plus de réussite. Nourrissant, gourmand et convivial, l’alloco est un plat qui se partage en famille ou entre amis.",Fruits Cuisines,"[""8 Banane plantain"", ""250 ml Huile d'arachide"", ""Oignon(s)"", ""Sel fin""]","[""Commencez par éplucher les bananes plantains. Découpez-les en quatre dans le sens de la longueur. Coupez ensuite chaque tranche de bananes plantains en cubes. Pelez le demi-oignon et émincez-le en fines rondelles."", ""Faites chauffer l’huile d’arachide dans une friteuse (ou dans une casserole à fond épais). Lorsqu’elle est bien chaude, plongez-y les rondelles d’oignon dans l’huile jusqu’à ce qu’elles commencent à noircir légèrement. Lorsqu’elles sont bien colorées, ajoutez les cubes de bananes plantains dans l’huile d’arachide et laissez-les frire jusqu’à ce qu’ils soient bien dorés eux aussi."", ""A la fin de la cuisson, les cubes de bananes plantains doivent être bien colorés. Retirez-les de la friteuse et déposez-les sur une assiette recouverte de papier absorbant. Laissez les alloco et les oignons frits égoutter pendant 5 minutes."", ""Saupoudrez un peu de sel sur les alloco et les rondelles d’oignon frits. Mélangez.\nServez vos alloco aussitôt, à l’apéritif ou en plat, et dégustez-les bien chauds.""]"
ba0e70e6-a481-47df-80aa-b31b388552f0,Allumettes à la moutarde,France,"Délicieuses allumettes feuilletées à la moutarde et au paprika, croustillantes et parfumées. Une entrée facile et rapide qui plaira à tous vos invités.",Biscuits Apéritif,"[""1 Pâte(s) feuilletée(s)"", ""Moutarde"", ""Paprika"", ""1 Jaune(s) d'œuf(s)""]","[""Préchauffez le four th.6 (180°C)."", ""Déroulez la pâte feuilletée."", ""Nappez-la de moutarde et saupoudrez de paprika."", ""Coupez la pâte feuilletée en petits rectangles (1cm de large sur 10 cm de long environ) et torsadez-les."", ""Disposez les allumettes sur une plaque de four recouverte de papier sulfurisé et dorez-les au jaune d'oeuf."", ""Enfournez environ 10 min."", ""Retirez les allumettes du four dès qu'elle brunissent."", ""Servez chaud ou froid à votre convenance.""]"
90b0e4fe-1545-4baa-b1a1-f44efbe1bd22,Cookies aux pépites de chocolat au lait et aux raisins,France,"Délicieux cookies moelleux avec des pépites de chocolat au lait et des raisins juteux, parfaits pour une pause gourmande.",Cookies,"[""100 g Chocolat au lait"", ""50 g Raisins secs"", ""100 g Beurre"", ""150 g Sucre de canne"", ""1 c. à café Extrait de vanille"", ""1 Œuf(s)"", ""1 c. à soupe Lait"", ""190 g Farine"", ""0.5 c. à café Levure chimique""]","[""Préchauffez le four th.6 (180°C)."", ""Recouvrez une grande plaque allant au four de papier sulfurisé."", ""Dans un saladier, travaillez le beurre et le sucre avec des mains bien propres."", ""Ajoutez l'extrait de vanille et l'oeuf puis mélangez. Versez le lait et remuez bien."", ""Tamisez la farine et la levure sur ce mélange, puis travaillez le tout toujours avec les mains."", ""Coupez la tablette de chocolat en pépites de chocolat. Ajoutez à la préparation les pépites de chocolat et les raisins secs."", ""Faites des boules de pâte entre vos mains, posez-les sur la plaque de cuisson et aplatissez-les légèrement avec la paume de la main."", ""Enfournez pendant 10 à 15 min. Laissez refroidir et dégustez avec une tasse de thé.""]"
